host_is_superhost,bathrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,log_price,room_type_Private room,room_type_Shared room,distance_to_cbd
1,1.0,1.0,1,200,96.0,1,1,4.700480365792417,False,False,1.6775948585932614
0,1.0,1.0,2,76,92.0,0,1,4.61512051684126,False,False,3.2055015909892894
0,1.5,1.0,4,3,93.0,0,1,4.574710978503383,False,False,6.872133835862141
0,2.0,2.0,4,25,98.0,0,1,5.3981627015177525,False,False,2.10677571303355
0,1.5,1.0,1,1,60.0,1,4,4.700480365792417,False,False,6.39984704612214
0,2.0,2.0,1,3,93.0,1,1,5.298317366548036,False,False,1.8299818618354546
1,2.0,5.0,3,13,98.0,1,1,5.993961427306569,False,False,3.4082707143573527
0,1.0,1.0,2,22,87.0,1,3,3.9318256327243257,True,False,2.667487571394124
0,1.0,3.0,1,116,93.0,1,1,5.25227342804663,False,False,26.239868983962282
0,1.0,3.0,1,2,100.0,1,1,4.700480365792417,False,False,6.811423673558667
0,1.0,2.0,2,1,100.0,0,1,4.983606621708336,False,False,4.370371803333055
0,1.0,1.0,2,2,100.0,0,2,5.655991810819852,True,False,49.87074099269049
0,1.0,2.0,1,61,89.0,1,5,5.1298987149230735,False,False,0.8599844223539395
0,1.0,2.0,2,19,91.0,0,1,5.043425116919247,False,False,1.8730625028799037
1,1.0,2.0,2,18,100.0,1,1,5.017279836814924,False,False,3.661948060621463
0,1.0,1.0,1,11,93.0,1,1,4.276666119016055,True,False,0.6003088123926759
0,1.0,1.0,7,2,100.0,1,1,4.02535169073515,True,False,1.5776570661694083
1,1.0,1.0,2,28,98.0,0,1,3.9889840465642745,True,False,5.198095450494269
1,1.0,3.0,2,63,97.0,1,2,4.795790545596741,False,False,43.38256930700514
1,1.0,2.0,2,34,96.0,0,2,5.529429087511423,False,False,64.44411415004564
1,1.0,1.0,1,20,94.0,0,2,4.330733340286331,True,False,14.3202737481646
0,2.0,2.0,1,13,80.0,1,50,5.087596335232384,False,False,2.1846749807753354
1,1.0,2.0,1,12,98.0,0,4,4.795790545596741,False,False,1.4308894899949796
0,1.0,3.0,1,18,91.0,1,21,4.787491742782046,False,False,0.7518461260851614
0,1.0,1.0,3,1,100.0,1,17,4.204692619390966,True,False,1.9755536739401833
0,1.0,1.0,1,6,100.0,0,1,4.30406509320417,False,False,3.56642460480133
1,1.0,2.0,2,21,99.0,1,5,4.700480365792417,False,False,0.6508209199831416
0,1.0,1.0,3,3,100.0,1,1,4.110873864173311,True,False,6.938228631622951
0,2.0,3.0,1,1,60.0,1,2,5.707110264748875,False,False,0.9971079754140986
1,1.0,1.0,2,91,99.0,0,2,4.875197323201151,False,False,34.71744413883633
0,1.0,1.0,1,4,100.0,0,3,3.713572066704308,True,False,47.34260477195562
0,1.0,2.0,2,80,94.0,0,1,4.836281906951478,False,False,5.4457383649381494
0,1.0,1.0,30,1,100.0,1,1,3.367295829986474,True,False,23.640531677113025
1,1.0,1.0,2,63,96.0,0,1,5.017279836814924,False,False,0.25903906924841963
0,1.0,2.0,1,39,86.0,1,1,5.14166355650266,False,False,0.44944530396540266
0,1.0,1.0,3,27,92.0,1,3,4.330733340286331,True,False,13.41892366227348
0,1.5,1.0,1,3,100.0,0,2,3.713572066704308,True,False,19.332172708551365
0,2.0,2.0,1,19,91.0,1,36,5.424950017481403,False,False,1.2892003815283717
0,1.0,1.0,5,3,90.0,0,1,4.442651256490317,False,False,6.823591000769088
0,1.0,1.0,2,2,60.0,0,2,4.189654742026425,False,False,4.957538750328131
1,1.0,1.0,1,38,98.0,0,1,4.02535169073515,True,False,23.341761707494566
1,1.0,2.0,2,51,94.0,0,3,4.442651256490317,True,False,1.8409275568404269
0,1.0,1.0,3,2,100.0,1,1,4.795790545596741,False,False,6.58887453713572
0,1.0,1.0,1,1,100.0,0,1,4.574710978503383,False,False,1.0996816748641343
0,1.0,1.0,7,15,91.0,0,5,3.6375861597263857,True,False,5.038517442553678
0,1.0,2.0,1,26,94.0,1,50,4.787491742782046,False,False,0.7192301817854228
1,2.0,5.0,4,14,93.0,0,1,4.3694478524670215,False,False,11.560828222090734
0,3.5,3.0,2,69,96.0,1,1,6.311734809152915,False,False,2.9610887371747148
0,1.0,2.0,1,200,91.0,1,50,4.787491742782046,False,False,0.7057949214289879
0,1.0,1.0,1,2,70.0,1,3,3.9889840465642745,True,False,9.985383461257468
1,1.0,1.0,3,3,87.0,0,4,4.110873864173311,True,False,18.85729594470073
0,1.0,3.0,1,74,89.0,1,2,4.61512051684126,False,False,1.8646222942505704
0,2.0,7.0,3,2,100.0,1,1,5.204006687076795,False,False,28.76888963520133
0,1.0,1.0,4,8,97.0,0,23,5.075173815233827,False,False,3.802379367890578
0,1.0,2.0,2,32,90.0,0,1,4.02535169073515,False,False,8.083178025172328
0,1.0,1.0,2,2,100.0,0,1,4.875197323201151,False,False,6.520978040641464
1,1.0,1.0,1,6,97.0,1,4,5.075173815233827,True,False,4.740943529680483
0,2.0,1.0,7,9,98.0,0,1,4.276666119016055,False,False,14.389830014496987
0,1.0,2.0,3,11,78.0,1,1,4.61512051684126,False,False,1.2041194544737817
1,1.0,1.0,1,26,98.0,1,1,4.189654742026425,True,False,33.28090579385627
1,1.0,3.0,3,29,98.0,0,1,4.9344739331306915,False,False,11.944185688468613
0,1.0,1.0,5,12,98.0,1,2,5.017279836814924,True,False,10.316745753422135
0,1.0,1.0,5,2,100.0,1,1,4.795790545596741,False,False,3.715525840749964
0,1.0,1.0,2,2,90.0,0,2,3.9889840465642745,True,False,19.682220411612406
1,1.5,1.0,2,84,98.0,0,1,4.795790545596741,False,False,8.94994808778481
0,1.5,1.0,1,3,73.0,1,7,3.8501476017100584,True,False,17.935073021313013
1,1.0,2.0,1,76,100.0,0,1,4.68213122712422,True,False,5.638820164877229
0,1.0,1.0,1,2,100.0,1,2,4.07753744390572,True,False,39.02958254265752
1,1.0,1.0,1,6,100.0,0,2,3.8501476017100584,True,False,7.885174672987934
0,1.0,1.0,2,94,91.0,1,1,4.624972813284271,False,False,7.276882636692894
1,1.0,1.0,1,140,97.0,1,35,5.241747015059643,False,False,0.9408438575945522
0,1.0,1.0,1,2,60.0,1,5,3.713572066704308,True,False,9.245391253491956
0,2.0,2.0,6,2,100.0,0,2,4.795790545596741,False,False,3.7949482250796462
0,1.0,1.0,7,17,95.0,0,1,4.59511985013459,False,False,3.4797026608341213
0,1.0,1.0,30,5,100.0,1,1,3.9512437185814275,True,False,4.324250578921968
1,1.0,1.0,2,9,93.0,0,1,4.51085950651685,False,False,6.69726214372846
1,1.0,1.0,2,36,97.0,0,1,4.276666119016055,True,False,1.0185564400523277
1,2.0,2.0,1,25,95.0,1,17,5.25227342804663,False,False,4.7697873492535035
0,1.0,2.0,3,17,99.0,0,1,4.02535169073515,True,False,6.200385143188488
0,2.5,2.0,1,11,100.0,1,15,5.14166355650266,False,False,1.920471998821438
0,1.0,1.0,3,1,100.0,1,1,4.61512051684126,True,False,2.1952552041403663
0,1.5,2.0,3,1,80.0,1,14,3.258096538021482,False,True,21.603025277309804
1,1.0,1.0,4,16,99.0,0,1,4.02535169073515,True,False,6.478583219806291
0,1.0,1.0,2,6,87.0,0,3,4.983606621708336,False,False,1.8308156559790258
1,1.0,1.0,2,40,99.0,0,1,4.442651256490317,False,False,6.850167608357084
1,1.0,1.0,5,80,93.0,1,1,4.852030263919617,False,False,0.2500027347467065
1,1.0,1.0,1,161,97.0,1,1,4.700480365792417,True,False,0.830748629993694
0,1.0,1.0,7,10,100.0,0,4,3.4339872044851463,True,False,14.031707055326416
